scheme kind op rng_in_timed nsp tsp samples warmup min_ns p50_ns p95_ns max_ns mean_ns stddev_ns
tspa prim AES256CTR_xor_32 0 60 24 2000 300 105 115 117 119 115.392 1.131
tspa prim PolyEval_degree_t_minus_1 0 60 24 2000 300 2317 2356 2574 19896 2462.430 449.292
upspa proto reg 0 60 36 2000 300 854864 914951 951816 1547078 923534.784 46858.037
upspa proto auth 0 60 36 2000 300 855731 915745 952768 1658448 921145.331 28295.214
upspa proto secupd 0 60 36 2000 300 906164 969949 1009367 1485057 974436.258 24365.600
upspa proto pwdupd 0 60 36 2000 300 2169651 2303486 2387404 3041845 2311917.760 51044.227
upspa formula auth 0 60 36 2000 300 871335 918678 946024 1430555 924153.264 25572.357
upspa prim TOPRF_client_eval 0 60 36 2000 300 1078527 1137057 1198398 1576453 1146352.172 36492.606
upspa prim AEAD_DEC_cipherid 0 60 36 2000 300 1413 1458 1475 4594 1455.377 90.735
upspa prim AEAD_DEC_ciphersp 0 60 36 2000 300 1319 1380 1494 7872 1416.137 196.638
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 60 36 2000 300 1305 1326 1340 1368 1326.373 6.806
upspa prim HASH_suid 0 60 36 2000 300 82 85 98 1592 88.317 37.890
upspa prim HASH_vinfo 0 60 36 2000 300 75 78 87 657 79.698 14.948
tspa proto reg 0 60 36 2000 300 1908249 2010698 2091263 2324042 2021017.815 38359.249
tspa proto auth 0 60 36 2000 300 947680 1012456 1042613 1298252 1016384.604 17881.922
tspa prim HASH_storuid 0 60 36 2000 300 81 84 94 111 84.985 3.911
tspa prim HASH_vinfo 0 60 36 2000 300 80 83 86 106 83.754 2.688
tspa prim OPRF_finalize 0 60 36 2000 300 3670 3794 3965 6807 3812.552 168.202
tspa prim OPRF_eval_full 0 60 36 2000 300 31931 32779 35249 43347 33134.961 1066.274
tspa prim MulP_point_scalar 0 60 36 2000 300 28711 28907 31156 40332 29245.375 934.041
tspa prim InvS_scalar_invert 0 60 36 2000 300 10293 10357 11300 14947 10444.380 337.232
tspa prim FieldOp_mul_add 0 60 36 2000 300 108 113 116 132 113.004 1.610
tspa prim AES256CTR_xor_32 0 60 36 2000 300 104 115 116 118 113.067 3.856
tspa prim PolyEval_degree_t_minus_1 0 60 36 2000 300 3473 3525 3879 8019 3618.240 222.556
upspa proto reg 0 60 48 2000 300 1145234 1196662 1224567 1591555 1200622.851 18300.069
upspa proto auth 0 60 48 2000 300 1148321 1197869 1230135 1977785 1205805.874 50435.136
upspa proto secupd 0 60 48 2000 300 1196210 1267954 1297501 1882532 1271909.094 26508.622
upspa proto pwdupd 0 60 48 2000 300 2568207 2731817 2830704 3123131 2742605.826 49966.146
upspa formula auth 0 60 48 2000 300 1145869 1196426 1223581 1460272 1200147.108 15443.628
upspa prim TOPRF_client_eval 0 60 48 2000 300 1416592 1490322 1555519 2245797 1500424.072 46491.062
upspa prim AEAD_DEC_cipherid 0 60 48 2000 300 1412 1444 1471 2802 1446.737 34.890
upspa prim AEAD_DEC_ciphersp 0 60 48 2000 300 1317 1357 1476 3217 1372.985 73.239
upspa prim AEAD_ENC_ciphersp_fixed_nonce 0 60 48 2000 300 1307 1328 1454 3742 1359.021 89.819
upspa prim HASH_suid 0 60 48 2000 300 81 84 86 109 84.878 3.391
upspa prim HASH_vinfo 0 60 48 2000 300 75 78 80 111 78.406 3.582
tspa proto reg 0 60 48 2000 300 1978573 2081928 2167605 2617753 2092945.529 40495.407
tspa proto auth 0 60 48 2000 300 1252449 1338573 1377440 1997161 1341811.331 35034.511
tspa prim HASH_storuid 0 60 48 2000 300 80 83 85 106 83.353 3.225
